age,articleNumber,bias-question,country,gender,language1,newsOutlet,politics,url
43,419.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/11/cars/tesla-fsd-family-friends/index.html
37,28.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/11/asia/pakistan-prime-minister-shehbaz-sharif-intl-hnk/index.html
32,194.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/liz-cheney-january-6-committee-cnntv/index.html
50,151.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/us/kentucky-governor-vetoes-bill-anti-critical-race-theory/index.html
36,326.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/entertainment/pamela-anderson-broadway-chicago-interview/index.html
26,466.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/project-cure-nonprofit-medical-supplies-ukraine-logistics-russia-war
20,286.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/11/us/ghost-guns-what-to-know/index.html
40,164.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/07/opinions/elon-musk-twitter-donald-trump-2024-zelizer/index.html
29,149.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
40,129.0,is-not-biased,Armenia,Male,English,BBC,Other,https://www.bbc.co.uk/news/uk-england-suffolk-61030320
65,195.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
25,179.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/08/us/south-bronx-high-school-shooting/index.html
62,400.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter
26,45.0,is-not-biased,United States,Male,English,FOX,Other,https://www.foxnews.com/us/12-massachusetts-state-troopers-fired-for-refusing-to-comply-with-vaccine-mandate
28,67.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
40,485.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61072430
29,440.0,is-not-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/man-beaten-by-biker-club-after-accidentally-running-into-member-at-mi-bar-police
30,10.0,is-not-biased,United States,Male,English,FOX,Other,https://www.foxnews.com/us/man-charged-burying-mother-sister-backyard
77,86.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/man-charged-burying-mother-sister-backyard
32,424.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/feds-rearrest-louisville-suspect-blm-fund-attempt-mayoral-candidates-life
34,4.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60800439
30,105.0,is-biased,Afghanistan,Female,Chinese,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60666251
39,81.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/uk-scotland-61031326
25,118.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-41488081
30,107.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/10/entertainment/pamela-anderson-broadway-chicago-interview/index.html
48,21.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
40,389.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/americans-russia-custody-conflict
57,160.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60670105
46,434.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/technology-60995694
41,460.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
35,245.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
62,14.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/brooklyn-bridge-climber-rush-hour-drama-video
34,175.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/business-61043609
30,415.0,is-biased,United States,Other,English,CNN,Other,https://www.cnn.com/2022/04/08/us/college-admissions-scandal-mark-riddell-sentencing/index.html
63,87.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/07/tech/spacex-iss-tourism-mission-scn/index.html
51,186.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
45,494.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/08/politics/poland-jets-ukraine-russia/index.html
22,208.0,is-not-biased,United States,Male,English,BBC,Other,https://www.bbc.co.uk/news/world-us-canada-60999431
30,477.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60999246
29,91.0,is-not-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/brooklyn-bridge-climber-rush-hour-drama-video
24,107.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/08/us/joplin-missouri-police-officers-shot/index.html
30,202.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis
53,481.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/us/ocean-drive-miami-shooting-injured/index.html
26,93.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/san-francisco-officer-terrance-stangel-verdict-dacari-spiers-boudin
30,443.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/police-warning-about-dangerous-new-tiktok-challenge-sweeping-us
34,429.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/08/golf/tiger-woods-second-round-the-masters-spt-intl/index.html
27,145.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60986427
48,296.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
29,439.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/ohio-university-speech-policy-chosen-name
25,72.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/08/golf/hudson-swafford-golf-club-head-masters-spt-intl/index.html
48,149.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/business-61027374
29,234.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/california-chevron-refinery-strike
27,92.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
46,207.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/08/health/florida-child-covid-vaccine-guidance/index.html
37,358.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
54,340.0,is-not-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/des-moines-iowa-high-school-shooting-murder-killed
32,283.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/sherri-papini-california-kidnapping-bail
42,365.0,is-biased,United Kingdom,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/us/sherri-papini-detention-hearing/index.html
19,287.0,is-not-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/texas-da-murder-charge-abortion-case-will-be-dropped
34,300.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-51235105
48,441.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047164
48,359.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61007176
25,245.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/nyc-gang-dirt-bikers-brutally-beat-64-year-old-man-son-caught-video-attack
34,302.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61016908
18,123.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/20/europe/russia-invasion-ukraine-03-20-intl/index.html
44,285.0,is-not-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/des-moines-iowa-high-school-shooting-murder-killed
27,51.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/technology-60995694
35,88.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc
33,42.0,is-not-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61026996
25,22.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/21/politics/eric-greitens-abuse-accusations-missouri-senate-candidate/index.html
30,72.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/fairfax-virginia-descano-confrontation-cleared-investigation-brady-list
30,480.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/10/business/gerber-baby-competition-trnd/index.html
30,475.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61031683
63,374.0,is-not-biased,United States,Female,English,FOX,Other,https://www.foxnews.com/us/nyc-shooting-outside-bronx-school-kills-teen-injures-two-others
53,455.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60797948
25,412.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/iowa-primary-abby-finkenauer-democrat-ballot/index.html
32,360.0,is-not-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61031583
36,345.0,is-not-biased,New Zealand,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61029445
24,307.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/11/politics/iowa-primary-abby-finkenauer-democrat-ballot/index.html
30,411.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/us/all-black-women-army-congressional-gold-medal/index.html
27,345.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/08/us/south-bronx-high-school-shooting/index.html
23,300.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-51235105
48,171.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
25,350.0,is-not-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
25,173.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/biden-ghost-guns-atf-nominee/index.html
68,258.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
32,297.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61033126
31,287.0,is-not-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/texas-da-murder-charge-abortion-case-will-be-dropped
28,408.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61029445
25,156.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60701050
35,322.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/08/europe/russia-invasion-ukraine-03-08-intl/index.html
64,357.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
30,8.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/entertainment/kanye-west-banned-grammys-trevor-noah/index.html
23,246.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/11/investing/russia-default-sp/index.html
32,175.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/business-61043609
90,35.0,is-not-biased,Costa Rica,Female,Beja,CNN,Other,https://www.cnn.com/2022/04/10/politics/biden-ghost-guns-atf-nominee/index.html
24,324.0,is-biased,France,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/magazine-33103973
27,466.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/health/florida-child-covid-vaccine-guidance/index.html
32,339.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/07/middleeast/tel-aviv-shooting-intl/index.html
44,379.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/universal-studios-hollywood-guests-rescued-from-ride-after-power-goes-out
42,351.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/20/politics/scotus-history-nominations-fights/index.html
26,338.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60797948
37,93.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/08/opinions/tiger-woods-masters-comeback-accident-jones/index.html
40,339.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/ghislaine-maxwell-juror-calls-false-answer-questionnaire-biggest-mistake
34,462.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/nancy-crampton-brophy-murder-trial-oregon
22,204.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/california-chevron-refinery-strike
48,360.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/technology-60995694
48,111.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/universal-studios-hollywood-guests-rescued-from-ride-after-power-goes-out
29,174.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/dc-truckers-convoy-loop-beltway-politicians-stories
26,104.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/americans-russia-custody-conflict
38,391.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/va-reporter-among-2-killed-in-shooting
40,180.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60576847
26,112.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/mass-shooting-suspect-served-less-time-due-california-law
32,275.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/nyc-gang-dirt-bikers-brutally-beat-64-year-old-man-son-caught-video-attack
53,439.0,is-not-biased,United States,Female,English,CNN,Other,https://www.cnn.com/2022/03/21/politics/ketanji-brown-jackson-confirmation-hearing-day-1/index.html
29,67.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
30,437.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/science-environment-61044759
60,260.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/08/us/alabama-transgender-bills/index.html
68,241.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/florida-officer-speeding-drunk-driver-runners-10k-dashcam-video
31,320.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/blankets-of-hope-nonprofit-homeless-shelters-ukraine
30,138.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/08/entertainment/will-smith-academy-sanctions-decision/index.html
51,430.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/us/iowa-survivalist-arrested/index.html
48,141.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61018821
40,355.0,is-not-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/07/us/iowa-survivalist-arrested/index.html
43,469.0,is-not-biased,United Kingdom,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/10/us/washington-nationals-park-shooting/index.html
30,488.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60999246
35,354.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/police-warning-about-dangerous-new-tiktok-challenge-sweeping-us
40,330.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/seattle-woman-hate-crimes-asian-neighbor-sell-home-settlement
66,18.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/20/us/rare-snake-alabama-trnd/index.html
33,456.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/08/golf/hudson-swafford-golf-club-head-masters-spt-intl/index.html
52,127.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/entertainment-arts-60374677
45,237.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/08/opinions/tiger-woods-masters-comeback-accident-jones/index.html
23,201.0,is-biased,Korea South,Male,Korean,FOX,Conservative,https://www.foxnews.com/us/philadelphia-record-homicides-chicago-murders-2022
31,57.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047164
39,290.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60999246
42,204.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/driver-highway-philadelphia-dies-tire-crashes-windshield
43,335.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60498965
32,346.0,is-not-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60810468
30,278.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/60920818
30,15.0,is-biased,India,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61015190
49,17.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/08/politics/poland-jets-ukraine-russia/index.html
43,395.0,is-not-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61047164
44,334.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/houston-crime-democrats-bail
44,254.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/driver-highway-philadelphia-dies-tire-crashes-windshield
42,264.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/science-environment-61044759
26,493.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html
23,116.0,is-biased,United States,Female,English,CNN,Other,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
41,492.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
68,174.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61072430
23,32.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/08/opinions/tiger-woods-masters-comeback-accident-jones/index.html
30,326.0,is-biased,Armenia,Female,English,CNN,Independent,https://www.cnn.com/2022/04/11/world/far-near-sides-of-the-moon-difference-scn/index.html
47,46.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/scotus-history-nominations-fights/index.html
48,27.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/08/us/college-admissions-scandal-mark-riddell-sentencing/index.html
37,19.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/11/world/far-near-sides-of-the-moon-difference-scn/index.html
58,435.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/politics/liz-cheney-january-6-committee-cnntv/index.html
43,433.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/florida-mid-atlantic-forecast-strong-storms-heavy-rain
40,254.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/10/entertainment/pamela-anderson-broadway-chicago-interview/index.html
48,468.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60656553
28,193.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60999431
53,322.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis
30,210.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/middleeast/tel-aviv-shooting-intl/index.html
36,463.0,is-biased,Georgia,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/business-61027374
28,55.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/10/golf/tiger-woods-2022-masters-final-round-spt-intl/index.html
67,441.0,is-not-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/new-jerseys-american-dream-mall-shooting-sends-shoppers-running-for-cover-in-nightmare-scenario
34,384.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61005390
34,478.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/08/us/sherri-papini-detention-hearing/index.html
73,215.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/08/us/joplin-missouri-police-officers-shot/index.html
30,130.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/police-search-for-suspect-in-viral-california-tesla-stunt-gone-wrong
28,191.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/james-trump-contempt/index.html
30,376.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/georgia-to-pennsylvania-300-guns-trafficked-atlanta-rapper-straw-purchasing-scheme
44,31.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
34,141.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/va-reporter-among-2-killed-in-shooting
63,314.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61047164
30,294.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
50,324.0,is-not-biased,United Kingdom,Male,English,FOX,Liberal,https://www.foxnews.com/us/nyc-high-school-shooting-charged-with-murder
55,109.0,is-biased,India,Female,English,CNN,Independent,https://www.cnn.com/2022/03/20/politics/scotus-history-nominations-fights/index.html
39,299.0,is-biased,United States,Female,English,BBC,Other,https://www.bbc.co.uk/news/world-us-canada-60656553
33,104.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/weather/severe-weather-south-thursday/index.html
33,41.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/entertainment-arts-60493614
29,242.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/florida-dad-chases-man-recording-young-walmart-dressing-room
24,423.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/alabama-governor-signs-law-banning-trans-youth-medication
48,453.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/midwestern-storm-rainy-weather-snow-great-lakes-northeast
57,47.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/politics/james-trump-contempt/index.html
33,2.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60986427
25,103.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/fairfax-virginia-descano-confrontation-cleared-investigation-brady-list
24,268.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61029445
35,268.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/08/politics/trevor-reed-biden-texas/index.html
52,292.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/21/americas/mississauga-canada-mosque-attack-charges/index.html
38,447.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60774098
47,393.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61018765
25,429.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-europe-60637841
29,402.0,is-not-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/california-gang-members-charged-kevin-nishita-murder-shooting-smash-and-grab
25,239.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
20,23.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/georgia-to-pennsylvania-300-guns-trafficked-atlanta-rapper-straw-purchasing-scheme
30,207.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
37,457.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60745569
34,425.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/us/kentucky-governor-vetoes-bill-anti-critical-race-theory/index.html
26,165.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/av/10462520
41,237.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/11/asia/pakistan-prime-minister-shehbaz-sharif-intl-hnk/index.html
40,407.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/nj-man-charged-violent-spree-anti-semitic-remarks-stabbing-orthodox-jewish-man-adl
25,272.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60999246
53,369.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/idaho-man-vicki-jensen-murder-true-crime-evil-lives-here
36,341.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/ny-judge-dead-federal-agents-search-buffalo-home
30,18.0,is-biased,India,Male,English,FOX,Conservative,https://www.foxnews.com/us/california-fire-home-depot-san-jose-visible-space
46,123.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/uk-60650285
37,93.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/nj-man-375-years-sentence-2016-killing-spree-woman-kids-facebook-post
30,168.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60532627
32,370.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
23,119.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61018821
33,165.0,is-biased,Ghana,Female,English,CNN,Independent,https://www.cnn.com/2022/04/07/us/iowa-survivalist-arrested/index.html
54,99.0,is-not-biased,United States,Female,English,FOX,Other,https://www.foxnews.com/us/florida-man-sister-in-law-attempted-robbers-fight-back-wwe
26,360.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61031583
25,408.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/seattle-woman-hate-crimes-asian-neighbor-sell-home-settlement
38,8.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61031683
36,150.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/feds-rearrest-louisville-suspect-blm-fund-attempt-mayoral-candidates-life
56,97.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61016908
